A	PROTO-CUNEIFORM SIGN A
KAR	PROTO-CUNEIFORM SIGN KAR
KAR₂~a	PROTO-CUNEIFORM SIGN KAR2-A
KAR₂~b	PROTO-CUNEIFORM SIGN KAR2-B
KASKAL	PROTO-CUNEIFORM SIGN KASKAL
KASKAL@g	PROTO-CUNEIFORM SIGN KASKAL GUNU
KAŠ~a	PROTO-CUNEIFORM SIGN KASH-A
KAŠ~a~v1	PROTO-CUNEIFORM SIGN KASH-A VARIANT 1
KAŠ~b	PROTO-CUNEIFORM SIGN KASH-B
KAŠ~b~v1	PROTO-CUNEIFORM SIGN KASH-B VARIANT 1
KAŠ~c	PROTO-CUNEIFORM SIGN KASH-C
KAŠ~d	PROTO-CUNEIFORM SIGN KASH-D
|KAŠ~b~v1×ŠE~a@t~v1|	PROTO-CUNEIFORM SIGN KASH-B VARIANT 1 TIMES SHE-A TENU VARIANT 1
KAŠ~b@t	PROTO-CUNEIFORM SIGN KASH-B TENU
KEŠ₂	PROTO-CUNEIFORM SIGN KESH2
KI	PROTO-CUNEIFORM SIGN KI
KI@n	PROTO-CUNEIFORM SIGN KI NUTILLU
|KI@n×DUB~a|	PROTO-CUNEIFORM SIGN KI NUTILLU TIMES DUB-A
KIB	PROTO-CUNEIFORM SIGN KIB
KIB@g	PROTO-CUNEIFORM SIGN KIB GUNU
KID~a	PROTO-CUNEIFORM SIGN KID-A
KID~b	PROTO-CUNEIFORM SIGN KID-B
KID~c	PROTO-CUNEIFORM SIGN KID-C
KID~d	PROTO-CUNEIFORM SIGN KID-D
KID~e	PROTO-CUNEIFORM SIGN KID-E
KIN	PROTO-CUNEIFORM SIGN KIN
KIN₂~a	PROTO-CUNEIFORM SIGN KIN2-A
KIN₂~c	PROTO-CUNEIFORM SIGN KIN2-C
KIN₂~d	PROTO-CUNEIFORM SIGN KIN2-D
KIN₂~e	PROTO-CUNEIFORM SIGN KIN2-E
KINGAL	PROTO-CUNEIFORM SIGN KINGAL
KINGAL~v1	PROTO-CUNEIFORM SIGN KINGAL VARIANT 1
KIR₁₁	PROTO-CUNEIFORM SIGN KIR11
KISAL~a1	PROTO-CUNEIFORM SIGN KISAL-A1
KISAL~a2	PROTO-CUNEIFORM SIGN KISAL-A2
KISAL~b1	PROTO-CUNEIFORM SIGN KISAL-B1
KISAL~b2	PROTO-CUNEIFORM SIGN KISAL-B2
KISAL~b3	PROTO-CUNEIFORM SIGN KISAL-B3
KISAL~b2@t	PROTO-CUNEIFORM SIGN KISAL-B2 TENU
KISIM~a	PROTO-CUNEIFORM SIGN KISIM-A
KISIM~b	PROTO-CUNEIFORM SIGN KISIM-B
KISIM~b~v1	PROTO-CUNEIFORM SIGN KISIM-B VARIANT 1
KISIM~b~v2	PROTO-CUNEIFORM SIGN KISIM-B VARIANT 2
KISIM~b~v3	PROTO-CUNEIFORM SIGN KISIM-B VARIANT 3
KISIM~c	PROTO-CUNEIFORM SIGN KISIM-C
KIŠ	PROTO-CUNEIFORM SIGN KISH
KIŠ~v1	PROTO-CUNEIFORM SIGN KISH VARIANT 1
KIŠIK~a	PROTO-CUNEIFORM SIGN KISHIK-A
KIŠIK~b	PROTO-CUNEIFORM SIGN KISHIK-B
KITI	PROTO-CUNEIFORM SIGN KITI
KITI~v1	PROTO-CUNEIFORM SIGN KITI VARIANT 1
KU~a	PROTO-CUNEIFORM SIGN KU-A
KU~b1	PROTO-CUNEIFORM SIGN KU-B1
KU~b2	PROTO-CUNEIFORM SIGN KU-B2
KU~a@t	PROTO-CUNEIFORM SIGN KU-A TENU
KU₃~a	PROTO-CUNEIFORM SIGN KU3-A
KU₃~c	PROTO-CUNEIFORM SIGN KU3-C
KU₆~a	PROTO-CUNEIFORM SIGN KU6-A
KU₆~c	PROTO-CUNEIFORM SIGN KU6-C
KU₆~d	PROTO-CUNEIFORM SIGN KU6-D
|KU₆~a.1(N02)|	PROTO-CUNEIFORM SIGN KU6-A BESIDE ONE-N2
|KU₆~a+GIŠ|	PROTO-CUNEIFORM SIGN KU6-A JOINING GISH
|KU₆~a+KU₆~a|	PROTO-CUNEIFORM SIGN KU6-A JOINING KU6-A
KU₆~a@s	PROTO-CUNEIFORM SIGN KU6-A SHESHIG
KUN	PROTO-CUNEIFORM SIGN KUN
KUR~a	PROTO-CUNEIFORM SIGN KUR-A
KUR~b	PROTO-CUNEIFORM SIGN KUR-B
KUR~c	PROTO-CUNEIFORM SIGN KUR-C
KUR~c~v1	PROTO-CUNEIFORM SIGN KUR-C VARIANT 1
KUR~d	PROTO-CUNEIFORM SIGN KUR-D
|KUR~a.E₂~a|	PROTO-CUNEIFORM SIGN KUR-A BESIDE E2-A
|KUR~b.E₂~a|	PROTO-CUNEIFORM SIGN KUR-B BESIDE E2-A
|KUR~a.NUNUZ~a1|	PROTO-CUNEIFORM SIGN KUR-A BESIDE NUNUZ-A1
KUR@g~a	PROTO-CUNEIFORM SIGN KUR GUNU-A
KUR@g~b	PROTO-CUNEIFORM SIGN KUR GUNU-B
KUŠU₂~a	PROTO-CUNEIFORM SIGN KUSHU2-A
KUŠU₂~b	PROTO-CUNEIFORM SIGN KUSHU2-B
KUŠU₂~c	PROTO-CUNEIFORM SIGN KUSHU2-C
KUŠU₂~d	PROTO-CUNEIFORM SIGN KUSHU2-D
KUŠU₂~e	PROTO-CUNEIFORM SIGN KUSHU2-E
KUŠU₂~f	PROTO-CUNEIFORM SIGN KUSHU2-F
LA~b	PROTO-CUNEIFORM SIGN LA-B
LA~c	PROTO-CUNEIFORM SIGN LA-C
LA~d	PROTO-CUNEIFORM SIGN LA-D
LA~e	PROTO-CUNEIFORM SIGN LA-E
LA₂	PROTO-CUNEIFORM SIGN LA2
LAGAB~a	PROTO-CUNEIFORM SIGN LAGAB-A
LAGAB~b	PROTO-CUNEIFORM SIGN LAGAB-B
|LAGAB~a×BA|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES BA
|LAGAB~b×BANŠUR~a|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES BANSHUR-A
|LAGAB~a×BIR₃~b|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES BIR3-B
|LAGAB~a×DU₆~a~v1|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES DU6-A VARIANT 1
|LAGAB~b×GAʾAR~a1|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES GAAR-A1
|LAGAB~b×HI|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES HI
|LAGAB~a×KAK~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KAK-A
|LAGAB~a×KU₆~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KU6-A
|LAGAB~a×(KU₆~a+KU₆~a)|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KU6-A JOINING KU6-A
|LAGAB~b×KUR~e|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES KUR-E
|LAGAB~a×KUŠU₂~a@t|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KUSHU2-A TENU
|LAGAB~a×LAGAB~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES LAGAB-A
|LAGAB~a×ME~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ME-A
|LAGAB~b×1(N01)|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES ONE-N1
|LAGAB~a×2(N14)|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES TWO-N14
|LAGAB~a×NUN~b|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES NUN-B
|LAGAB~a×PA~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES PA-A
|LAGAB~b×PA~a|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES PA-A
|LAGAB~a×SI~v1|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SI VARIANT 1
|LAGAB~b×SI|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SI
|LAGAB~a×SIG₇~v1|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SIG7 VARIANT 1
|LAGAB~a×SU~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SU-A
|LAGAB~b×SUH₃|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SUH3
|LAGAB~a×ŠA|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SHA
|LAGAB~a×ŠITA~a1|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SHITA-A1
|LAGAB~b×ŠITA~c|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SHITA-C
|LAGAB~a×TI|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES TI
|LAGAB~a×U₄|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES U4
|LAGAB~b×U₄|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES U4
|LAGAB~a×UB|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES UB
|LAGAB~a×X|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES X
|LAGAB~b×X|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES X
|LAGAB~a×ZATU753|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ZATU753
|LAGAB~b&LAGAB~b|	PROTO-CUNEIFORM SIGN LAGAB-B OVER LAGAB-B
LAGAR~a	PROTO-CUNEIFORM SIGN LAGAR-A
LAGAR~b1	PROTO-CUNEIFORM SIGN LAGAR-B1
LAGAR~b2	PROTO-CUNEIFORM SIGN LAGAR-B2
LAGAR~c	PROTO-CUNEIFORM SIGN LAGAR-C
LAGAR~a@r	PROTO-CUNEIFORM SIGN LAGAR-A REVERSED
LAHTAN₂	PROTO-CUNEIFORM SIGN LAHTAN2
LAL₂~a	PROTO-CUNEIFORM SIGN LAL2-A
LAL₂~b	PROTO-CUNEIFORM SIGN LAL2-B
|LAL₂~a×EZEN~a~v1|	PROTO-CUNEIFORM SIGN LAL2-A TIMES EZEN-A VARIANT 1
|LAL₂~a×NIM~b2|	PROTO-CUNEIFORM SIGN LAL2-A TIMES NIM-B2
LAL₃~a	PROTO-CUNEIFORM SIGN LAL3-A
LAL₃~b	PROTO-CUNEIFORM SIGN LAL3-B
LAL₃~c	PROTO-CUNEIFORM SIGN LAL3-C
LAM~a	PROTO-CUNEIFORM SIGN LAM-A
LAM~b	PROTO-CUNEIFORM SIGN LAM-B
LAM~b~v1	PROTO-CUNEIFORM SIGN LAM-B VARIANT 1
LAM~b~v2	PROTO-CUNEIFORM SIGN LAM-B VARIANT 2
LAM~c	PROTO-CUNEIFORM SIGN LAM-C
LAM~b@r	PROTO-CUNEIFORM SIGN LAM-B REVERSED
LAM~b@s	PROTO-CUNEIFORM SIGN LAM-B SHESHIG
LAM~b@t	PROTO-CUNEIFORM SIGN LAM-B TENU
LAK025	PROTO-CUNEIFORM SIGN LAK025
LAK050	PROTO-CUNEIFORM SIGN LAK050
LAK172	PROTO-CUNEIFORM SIGN LAK172
LAK251	PROTO-CUNEIFORM SIGN LAK251
LAK350	PROTO-CUNEIFORM SIGN LAK350
LAK777	PROTO-CUNEIFORM SIGN LAK777
LI	PROTO-CUNEIFORM SIGN LI
LI~v1	PROTO-CUNEIFORM SIGN LI VARIANT 1
LIŠ	PROTO-CUNEIFORM SIGN LISH
LU₂	PROTO-CUNEIFORM SIGN LU2
LU₂~v1	PROTO-CUNEIFORM SIGN LU2 VARIANT 1
LU₂~v2	PROTO-CUNEIFORM SIGN LU2 VARIANT 2
|LU₂×GEŠTU~c3|	PROTO-CUNEIFORM SIGN LU2 TIMES GESHTU-C3
LU₂@t	PROTO-CUNEIFORM SIGN LU2 TENU
LUGAL	PROTO-CUNEIFORM SIGN LUGAL
LUGAL~v1	PROTO-CUNEIFORM SIGN LUGAL VARIANT 1
LUM	PROTO-CUNEIFORM SIGN LUM
MA	PROTO-CUNEIFORM SIGN MA
MA~v1	PROTO-CUNEIFORM SIGN MA VARIANT 1
|MA×MA|	PROTO-CUNEIFORM SIGN MA TIMES MA
|MA×1(N58)|	PROTO-CUNEIFORM SIGN MA TIMES ONE-N58
|MA~v1×A|	PROTO-CUNEIFORM SIGN MA VARIANT 1 TIMES A
|MA~v1×2(N57)|	PROTO-CUNEIFORM SIGN MA VARIANT 1 TIMES TWO-N57
|MA~v1×X|	PROTO-CUNEIFORM SIGN MA VARIANT 1 TIMES X
MA₂	PROTO-CUNEIFORM SIGN MA2
MAGUR~a	PROTO-CUNEIFORM SIGN MAGUR-A
MAGUR~b	PROTO-CUNEIFORM SIGN MAGUR-B
MAH~a	PROTO-CUNEIFORM SIGN MAH-A
MAH~b	PROTO-CUNEIFORM SIGN MAH-B
|MAH~a×AB₂|	PROTO-CUNEIFORM SIGN MAH-A TIMES AB2
|MAH~a×GUKKAL~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES GUKKAL-A
|MAH~a×KU₆~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES KU6-A
|MAH~b×KU₆~a|	PROTO-CUNEIFORM SIGN MAH-B TIMES KU6-A
|MAH~a×MAŠ|	PROTO-CUNEIFORM SIGN MAH-A TIMES MASH
|MAH~b×MAŠ|	PROTO-CUNEIFORM SIGN MAH-B TIMES MASH
|MAH~a×NA~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES NA-A
|MAH~b×NA~a|	PROTO-CUNEIFORM SIGN MAH-B TIMES NA-A
|MAH~b×SAL|	PROTO-CUNEIFORM SIGN MAH-B TIMES SAL
|MAH~a×(SILA₃~a×UMBIN~a)|	PROTO-CUNEIFORM SIGN MAH-A TIMES SILA3-A TIMES UMBIN-A
|MAH~a×TUG₂~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES TUG2-A
|MAH~a×UD₅~a~v1|	PROTO-CUNEIFORM SIGN MAH-A TIMES UD5-A VARIANT 1
|MAH~a×UDU~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES UDU-A
|MAH~a×UR~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES UR-A
|MAH~a×UTUA~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES UTUA-A
|MAH~a×X|	PROTO-CUNEIFORM SIGN MAH-A TIMES X
|MAH~a×ZATU659|	PROTO-CUNEIFORM SIGN MAH-A TIMES ZATU659
MAR~a	PROTO-CUNEIFORM SIGN MAR-A
MAR~a~v1	PROTO-CUNEIFORM SIGN MAR-A VARIANT 1
MAR~b	PROTO-CUNEIFORM SIGN MAR-B
|MAR~b×(LAGAB~b.ŠE₃~v1)|	PROTO-CUNEIFORM SIGN MAR-B TIMES LAGAB-B PLUS SHE3 VARIANT 1
|MAR~b×ŠE~a|	PROTO-CUNEIFORM SIGN MAR-B TIMES SHE-A
|MAR~b×X|	PROTO-CUNEIFORM SIGN MAR-B TIMES X
MAR@g~a	PROTO-CUNEIFORM SIGN MAR GUNU-A
MAR~a@t	PROTO-CUNEIFORM SIGN MAR-A TENU
MAŠ	PROTO-CUNEIFORM SIGN MASH
MAŠ₂	PROTO-CUNEIFORM SIGN MASH2
MAŠ₂@g	PROTO-CUNEIFORM SIGN MASH2 GUNU
ME~a	PROTO-CUNEIFORM SIGN ME-A
ME~b	PROTO-CUNEIFORM SIGN ME-B
ME₃	PROTO-CUNEIFORM SIGN ME3
MEN~a	PROTO-CUNEIFORM SIGN MEN-A
MEN~a~v1	PROTO-CUNEIFORM SIGN MEN-A VARIANT 1
MEN~b	PROTO-CUNEIFORM SIGN MEN-B
MES	PROTO-CUNEIFORM SIGN MES
MES~v1	PROTO-CUNEIFORM SIGN MES VARIANT 1
MIR~a	PROTO-CUNEIFORM SIGN MIR-A
MIR~b	PROTO-CUNEIFORM SIGN MIR-B
MU	PROTO-CUNEIFORM SIGN MU
MUD	PROTO-CUNEIFORM SIGN MUD
MUD~v1	PROTO-CUNEIFORM SIGN MUD VARIANT 1
MUD₃~a	PROTO-CUNEIFORM SIGN MUD3-A
MUD₃~b	PROTO-CUNEIFORM SIGN MUD3-B
MUD₃~c	PROTO-CUNEIFORM SIGN MUD3-C
MUD₃~d	PROTO-CUNEIFORM SIGN MUD3-D
MUD₃~a@g	PROTO-CUNEIFORM SIGN MUD3-A GUNU
|MUD₃~a@g×GU|	PROTO-CUNEIFORM SIGN MUD3-A GUNU TIMES GU
MUL	PROTO-CUNEIFORM SIGN MUL
MUN~a1	PROTO-CUNEIFORM SIGN MUN-A1
MUN~a2	PROTO-CUNEIFORM SIGN MUN-A2
MUN~a3	PROTO-CUNEIFORM SIGN MUN-A3
MUN~a4	PROTO-CUNEIFORM SIGN MUN-A4
MUN~b	PROTO-CUNEIFORM SIGN MUN-B
MUNŠUB~a	PROTO-CUNEIFORM SIGN MUNSHUB-A
MUNŠUB~b	PROTO-CUNEIFORM SIGN MUNSHUB-B
MUNU₃	PROTO-CUNEIFORM SIGN MUNU3
MURUB₂	PROTO-CUNEIFORM SIGN MURUB2
MUŠ	PROTO-CUNEIFORM SIGN MUSH
MUŠ₃~a	PROTO-CUNEIFORM SIGN MUSH3-A
MUŠ₃~a~v1	PROTO-CUNEIFORM SIGN MUSH3-A VARIANT 1
MUŠ₃~a~v2	PROTO-CUNEIFORM SIGN MUSH3-A VARIANT 2
MUŠ₃~b	PROTO-CUNEIFORM SIGN MUSH3-B
MUŠ₃~a@g	PROTO-CUNEIFORM SIGN MUSH3-A GUNU
MUŠ₃~a@g~v1	PROTO-CUNEIFORM SIGN MUSH3-A GUNU VARIANT 1
MUŠEN	PROTO-CUNEIFORM SIGN MUSHEN
|MUŠEN.UR₃~b2|	PROTO-CUNEIFORM SIGN MUSHEN BESIDE UR3-B2
|MUŠEN×1(N57)|	PROTO-CUNEIFORM SIGN MUSHEN TIMES ONE-N57
|MUŠEN×2(N57)|	PROTO-CUNEIFORM SIGN MUSHEN TIMES TWO-N57
|MUŠEN×3(N57)|	PROTO-CUNEIFORM SIGN MUSHEN TIMES THREE-N57
|MUŠEN×PAP~a|	PROTO-CUNEIFORM SIGN MUSHEN TIMES PAP-A
|MUŠEN×X|	PROTO-CUNEIFORM SIGN MUSHEN TIMES X
NA~a	PROTO-CUNEIFORM SIGN NA-A
NA~b	PROTO-CUNEIFORM SIGN NA-B
NA~c	PROTO-CUNEIFORM SIGN NA-C
NA~d	PROTO-CUNEIFORM SIGN NA-D
NA₂~a	PROTO-CUNEIFORM SIGN NA2-A
NA₂~a~v1	PROTO-CUNEIFORM SIGN NA2-A VARIANT 1
NA₂~b1	PROTO-CUNEIFORM SIGN NA2-B1
NA₂~b2	PROTO-CUNEIFORM SIGN NA2-B2
NAB	PROTO-CUNEIFORM SIGN NAB
NAB~v1	PROTO-CUNEIFORM SIGN NAB VARIANT 1
NAB~v2	PROTO-CUNEIFORM SIGN NAB VARIANT 2
NAGA~a	PROTO-CUNEIFORM SIGN NAGA-A
NAGA~b	PROTO-CUNEIFORM SIGN NAGA-B
|NAGA~a×TAK₄~a|	PROTO-CUNEIFORM SIGN NAGA-A TIMES TAK4-A
NAGAR~a	PROTO-CUNEIFORM SIGN NAGAR-A
NAGAR~a~v1	PROTO-CUNEIFORM SIGN NAGAR-A VARIANT 1
NAGAR~a~v2	PROTO-CUNEIFORM SIGN NAGAR-A VARIANT 2
NAGAR~a~v3	PROTO-CUNEIFORM SIGN NAGAR-A VARIANT 3
NAGAR~b	PROTO-CUNEIFORM SIGN NAGAR-B
NAGAR~b~v1	PROTO-CUNEIFORM SIGN NAGAR-B VARIANT 1
NAM~a	PROTO-CUNEIFORM SIGN NAM-A
NAM~b	PROTO-CUNEIFORM SIGN NAM-B
NAM~c	PROTO-CUNEIFORM SIGN NAM-C
NAM~d	PROTO-CUNEIFORM SIGN NAM-D
NAM₂	PROTO-CUNEIFORM SIGN NAM2
|NAM₂×1(N01)|	PROTO-CUNEIFORM SIGN NAM2 TIMES ONE-N1
NAM₂@g	PROTO-CUNEIFORM SIGN NAM2 GUNU
NAM₂@t	PROTO-CUNEIFORM SIGN NAM2 TENU
NAMEŠDA	PROTO-CUNEIFORM SIGN NAMESHDA
NAMEŠDA~v1	PROTO-CUNEIFORM SIGN NAMESHDA VARIANT 1
NANNA~a	PROTO-CUNEIFORM SIGN NANNA-A
NANNA~a~v1	PROTO-CUNEIFORM SIGN NANNA-A VARIANT 1
NANNA~b	PROTO-CUNEIFORM SIGN NANNA-B
NANŠE~a	PROTO-CUNEIFORM SIGN NANSHE-A
NANŠE~b	PROTO-CUNEIFORM SIGN NANSHE-B
NAR	PROTO-CUNEIFORM SIGN NAR
NE~a	PROTO-CUNEIFORM SIGN NE-A
NE~a~v1	PROTO-CUNEIFORM SIGN NE-A VARIANT 1
NE~a~v2	PROTO-CUNEIFORM SIGN NE-A VARIANT 2
NE~b	PROTO-CUNEIFORM SIGN NE-B
NE~c	PROTO-CUNEIFORM SIGN NE-C
NE~d	PROTO-CUNEIFORM SIGN NE-D
NERGAL~v	PROTO-CUNEIFORM SIGN NERGAL-V
NESAG₂~a	PROTO-CUNEIFORM SIGN NESAG2-A
NESAG₂~a1	PROTO-CUNEIFORM SIGN NESAG2-A1
NESAG₂~b	PROTO-CUNEIFORM SIGN NESAG2-B
NESAG₂~b~v1	PROTO-CUNEIFORM SIGN NESAG2-B VARIANT 1
NESAG₂~b@t	PROTO-CUNEIFORM SIGN NESAG2-B TENU
NI~a	PROTO-CUNEIFORM SIGN NI-A
NI~b	PROTO-CUNEIFORM SIGN NI-B
|NI~a.RU~v1|	PROTO-CUNEIFORM SIGN NI-A BESIDE RU VARIANT 1
|NI~a×1(N57)|	PROTO-CUNEIFORM SIGN NI-A TIMES ONE-N57
|NI~b×4(N57)|	PROTO-CUNEIFORM SIGN NI-B TIMES FOUR-N57
|NI~b×X|	PROTO-CUNEIFORM SIGN NI-B TIMES X
NI~a@g	PROTO-CUNEIFORM SIGN NI-A GUNU
NI₂	PROTO-CUNEIFORM SIGN NI2
NIGIN	PROTO-CUNEIFORM SIGN NIGIN
NIM~a	PROTO-CUNEIFORM SIGN NIM-A
NIM~b1	PROTO-CUNEIFORM SIGN NIM-B1
NIM~b2	PROTO-CUNEIFORM SIGN NIM-B2
NIM~b3	PROTO-CUNEIFORM SIGN NIM-B3
NIMGIR	PROTO-CUNEIFORM SIGN NIMGIR
NIMGIR~v1	PROTO-CUNEIFORM SIGN NIMGIR VARIANT 1
NIN	PROTO-CUNEIFORM SIGN NIN
NINDA₂	PROTO-CUNEIFORM SIGN NINDA2
NINDA₂~v1	PROTO-CUNEIFORM SIGN NINDA2 VARIANT 1
|NINDA₂×AN|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN
|NINDA₂×(AN.HI)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS HI
|NINDA₂×(AN.X)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS X
|NINDA₂×BA|	PROTO-CUNEIFORM SIGN NINDA2 TIMES BA
|NINDA₂×EZEN~b|	PROTO-CUNEIFORM SIGN NINDA2 TIMES EZEN-B
|NINDA₂×GAʾAR~a1|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GAAR-A1
|NINDA₂×GAR|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GAR
|NINDA₂×GIŠ|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GISH
|NINDA₂×(GIŠ.DAR~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GISH PLUS DAR-A
|NINDA₂×GU₄|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GU4
|NINDA₂×(AN.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS ME-A
|NINDA₂×GUDU₄|~v2	PROTO-CUNEIFORM SIGN NINDA2 TIMES GUDU4 VARIANT 2
|NINDA₂×GUDU₄|~v3	PROTO-CUNEIFORM SIGN NINDA2 TIMES GUDU4 VARIANT 3
|NINDA₂×(HI.AN.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS AN PLUS ME-A
|NINDA₂×(HI.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS ME-A
|NINDA₂×(HI~a1.AN.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI-A1 PLUS AN PLUS ME-A
|NINDA₂×(HI~a1.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI-A1 PLUS ME-A
|NINDA₂×HI|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI
|NINDA₂×(HI.X)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS X
|NINDA₂×(1(N06).HI@g~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N6 PLUS HI GUNU-A
|NINDA₂×KAŠ~b|	PROTO-CUNEIFORM SIGN NINDA2 TIMES KASH-B
|NINDA₂×MAR~b|	PROTO-CUNEIFORM SIGN NINDA2 TIMES MAR-B
|NINDA₂×1(N01)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N1
|NINDA₂×2(N01)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES TWO-N1
|NINDA₂×1(N06)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N6
|NINDA₂×1(N08)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N8
|NINDA₂×NE~a~v1|	PROTO-CUNEIFORM SIGN NINDA2 TIMES NE-A VARIANT 1
|NINDA₂×ŠIM~a~v2|	PROTO-CUNEIFORM SIGN NINDA2 TIMES SHIM-A VARIANT 2
|NINDA₂×U₄|	PROTO-CUNEIFORM SIGN NINDA2 TIMES U4
|NINDA₂×(U₄.X)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES U4 PLUS X
|NINDA₂×(UDU~a×TAR~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES UDU-A TIMES TAR-A
|NINDA₂×(UDU~a×TAR~b)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES UDU-A TIMES TAR-B
|NINDA₂×X|	PROTO-CUNEIFORM SIGN NINDA2 TIMES X
|NINDA₂×(X₁.MAŠ)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES X1 PLUS MASH
|NINDA₂×(X.MAŠ)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES X PLUS MASH
|NINDA₂×(ZATU659×1(N01))|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ZATU659 TIMES ONE-N1
NINKUM	PROTO-CUNEIFORM SIGN NINKUM
NINLIL	PROTO-CUNEIFORM SIGN NINLIL
NIR~a	PROTO-CUNEIFORM SIGN NIR-A
NIR~b	PROTO-CUNEIFORM SIGN NIR-B
|NIR~a×AN|	PROTO-CUNEIFORM SIGN NIR-A TIMES AN
NU	PROTO-CUNEIFORM SIGN NU
NU@g	PROTO-CUNEIFORM SIGN NU GUNU
NU₁₁	PROTO-CUNEIFORM SIGN NU11
|NU₁₁&NU₁₁|	PROTO-CUNEIFORM SIGN NU11 OVER NU11
NU₁₁@t	PROTO-CUNEIFORM SIGN NU11 TENU
NUMUN	PROTO-CUNEIFORM SIGN NUMUN
NUMUN₂	PROTO-CUNEIFORM SIGN NUMUN2
NUN~a	PROTO-CUNEIFORM SIGN NUN-A
NUN~b	PROTO-CUNEIFORM SIGN NUN-B
NUN~c	PROTO-CUNEIFORM SIGN NUN-C
NUN~c~v1	PROTO-CUNEIFORM SIGN NUN-C VARIANT 1
NUN~c~v2	PROTO-CUNEIFORM SIGN NUN-C VARIANT 2
NUN~c~v3	PROTO-CUNEIFORM SIGN NUN-C VARIANT 3
NUN~d	PROTO-CUNEIFORM SIGN NUN-D
|NUN~a+A|	PROTO-CUNEIFORM SIGN NUN-A JOINING A
|NUN~a+EN~a~v2|	PROTO-CUNEIFORM SIGN NUN-A JOINING EN-A VARIANT 2
