id_text	accession_no	accounting_period	acquisition_history	alternative_years	ark_number	atf_source	atf_up	author	author_remarks	cdli_collation	cdli_comments	citation	collection	composite_id	condition_description	date_entered	date_of_origin	date_remarks	date_updated	dates_referenced	db_source	designation	dumb	dumb2	electronic_publication	elevation	excavation_no	external_id	findspot_remarks	findspot_square	genre	google_earth_collection	google_earth_provenience	height	id	id_text2	id_text_int	join_information	language	lineart_up	material	museum_no	object_preservation	object_type	period	period_remarks	photo_up	primary_publication	provenience	provenience_remarks	publication_date	publication_history	published_collation	seal_id	seal_information	stratigraphic_level	subgenre	subgenre_remarks	surface_preservation	text_remarks	thickness	translation_source	width	object_remarks
P003640					21198/zz001r896v	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134311					W 20274,142		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			42	3453	0	3640		undetermined	150ppi 20160630	clay	IM 134311		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 032 34									15	no translation	43		
P003641					21198/zz001r897c	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134312					W 20274,143		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			33	3454	0	3641		undetermined	150ppi 20160630	clay	IM 134312		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 027 16									10	no translation	37		
P003642					21198/zz001r898w	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134313					W 20274,144		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			52	3455	0	3642		undetermined	150ppi 20160630	clay	IM 134313		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										19	no translation	42		
P003643					21198/zz001qn50b	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134314					W 20274,145		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			38	3456	0	3643		undetermined	150ppi 20160630	clay	IM 134314		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 032 37									13	no translation	43		
P003644					21198/zz001qn51v	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134315					W 20274,146		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			45	3457	0	3644		undetermined	150ppi 20160630	clay	IM 134315		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 029 26									15	no translation	35		
P003645					21198/zz001qn52c	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134316					W 20274,147		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			62	3458	0	3645		undetermined	150ppi 20160630	clay	IM 134316		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 025 11									20	no translation	39		
P003646					21198/zz001qn53w	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134317					W 20274,148		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			445	3459	0	3646		undetermined	150ppi 20160630	clay	IM 134317		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 029 24									14	no translation	41		
P003647					21198/zz001qn54d	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134318					W 20274,149		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			76	3460	0	3647		undetermined	150ppi 20160630	clay	IM 134318		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										21	no translation	55		
P003648					21198/zz001qn55x	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134319					W 20274,150		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			41	3461	0	3648		undetermined	150ppi 20160630	clay	IM 134319		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										18	no translation	44		
P003649					21198/zz001qn56f	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	45x44x16; s. W 20274,12.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 055, W 20274,151					W 20274,151		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			45	3462	0	3649		undetermined	150ppi 20160630	clay	HD: W 20274,151		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 055, W 20274,151	Uruk (mod. Warka)		2001										16	no translation	44		
P003650					21198/zz001qn57z	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	46x35x21; s. W 20274,12.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 055, W 20274,152					W 20274,152		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			46	3463	0	3650		undetermined	150ppi 20160630	clay	HD: W 20274,152		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 055, W 20274,152	Uruk (mod. Warka)		2001										21	no translation	35		
P003651					21198/zz001qn58g	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134320					W 20274,153		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			41	3464	0	3651		undetermined	150ppi 20160630	clay	IM 134320		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										17	no translation	33		
P003652					21198/zz001qn590	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134322					W 20274,155		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			47	3465	0	3652		undetermined	150ppi 20160630	clay	IM 134322		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 030 28									15	no translation	30		
P003653					21198/zz001qn5bh	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	45x49x21; s. W 20274,12; Abrechnung unklaren Inhalts; die Drehung um eine diagonale Achse könnte auf eine lexikalische Liste schließen lassen (der Text W 20274,155 enthielt einen Teil der Liste „Tribut"").				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 055, W 20274,156					W 20274,156		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			45	3466	0	3653		undetermined	150ppi 20160630	clay	HD: W 20274,156		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 055, W 20274,156	Uruk (mod. Warka)		2001										21	no translation	49		
P003654					21198/zz001qn5c1	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	131x105x24; s. W 20274,12; ATU 2, Taf. 32; große Abrechnung über Zuteilungen von Textilprodukten und anderen, anscheinend rationierten Produkten (nach Vs. iii3b Fisch).				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 056, W 20327,1					W 20327,01		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			131	3467	0	3654		undetermined	150ppi 20160630	clay	HD: W 20327,1		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 056, W 20327,1	Uruk (mod. Warka)		2001	ATU 2, plate 32 obv. (p, c)									24	no translation	105		
P003655					21198/zz001r09dc	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134325					W 20327,03		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			165	3468	0	3655		undetermined	150ppi 20160630	clay	IM 134325		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., VL 15 (1981) 354; ATU 2, plate 34 obv. (p, c)									32	no translation	136		
P003656					21198/zz001r09fw	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134329					W 20327,04		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			83	3469	0	3656		undetermined	150ppi 20160630	clay	IM 134329		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	ATU 2, plate 32 obv. (p, c)									29	no translation	33		
P003657					21198/zz001r09gd	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	39x40x23; s. W 20274,12; ATU 2, Taf. 32.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,5					W 20327,05		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			39	3470	0	3657		undetermined	150ppi 20160630	clay	HD: W 20327,5		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,5	Uruk (mod. Warka)		2001	ATU 2, plate 32 obv.									23	no translation	40		
P003658					21198/zz001r09hx	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134326					W 20327,06		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			33	3471	0	3658		undetermined	150ppi 20160630	clay	IM 134326		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	ATU 2, plate 32 obv.									18	no translation	33		
P003659					21198/zz001r09jf	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	45x42x22; s. W 20274,12; ATU 2, Taf. 3; Abrechnung über Produkte aus der Fischerei.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,7					W 20327,07		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			45	3472	0	3659		undetermined	150ppi 20160630	clay	HD: W 20327,7		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,7	Uruk (mod. Warka)		2001	ATU 2, plate 32 obv.									22	no translation	42		
P003660					21198/zz001r09kz	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	49x22x20; s. W 20274,12; ATU 2, Taf. 32.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,8					W 20327,08		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			49	3473	0	3660		undetermined	150ppi 20160630	clay	HD: W 20327,8		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,8	Uruk (mod. Warka)		2001	ATU 2, plate 32 obv.									20	no translation	22		
P003661					21198/zz001r09mg	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	34x34x20; s. W 20274,12; ATU 2, Taf. 33.; vertikale Drehachse; Abrechnung über Zuteilungen von kleineren Mengen Kuhmilchfett.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,9					W 20327,09		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			34	3474	0	3661		undetermined	150ppi 20160630	clay	HD: W 20327,9		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,9	Uruk (mod. Warka)		2001	ATU 2, plate 33 obv.									20	no translation	34		
P003662					21198/zz001r09n0	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	33x30x18; s. W 20274,12; ATU 2, Taf. 33.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,10					W 20327,10		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			33	3475	0	3662		undetermined	150ppi 20160630	clay	HD: W 20327,10		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,10	Uruk (mod. Warka)		2001	ATU 2, plate 33 obv.									18	no translation	30		
P003663					21198/zz001r09ph	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	39x20x17; s. W 20274,12; ATU 2, Taf. 33.; vertikale Drehachse; Abrechnung über Zuteilungen von kleineren Mengen Kuhmilchfett.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,11					W 20327,11		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			39	3476	0	3663		undetermined	150ppi 20160630	clay	HD: W 20327,11		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,11	Uruk (mod. Warka)		2001	ATU 2, plate 33 obv.									17	no translation	20		
P003664					21198/zz001r09q1	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134327					W 20327,12		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			26	3477	0	3664		undetermined	150ppi 20160630	clay	IM 134327		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	ATU 2, plate 33 obv.									12	no translation	27		
P003665					21198/zz001r09rj	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134328					W 20327,13		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			31	3478	0	3665		undetermined	150ppi 20160630	clay	IM 134328		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	ATU 2, plate 33 obv.									14	no translation	32		
P003666					21198/zz001r0c25	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	33x29x16; s. W 20274,12; M. Green, JNES 39 (1980) 27, Nr. 19; ATU 2, Taf. 33; Abrechnung über eine Herde von Schafen.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,14					W 20327,14		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			33	3479	0	3666		undetermined	150ppi 20160630	clay	HD: W 20327,14		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,14	Uruk (mod. Warka)		2001	Green, Margaret W., JNES 39 (1980) 027 19; ATU 2, plate 33 obv.									16	no translation	29		
P003667					21198/zz001r0c3p	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134349					W 20327,15		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			36	3480	0	3667		undetermined	150ppi 20160630	clay	IM 134349		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 033 38; ATU 2, plate 33 obv.									16	no translation	32		
P003668					21198/zz001r0c46	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	35x31x20; s. W 20274,12; ATU 2, Taf. 34.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 057, W 20327,16					W 20327,16		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			35	3481	0	3668		undetermined	150ppi 20160630	clay	HD: W 20327,16		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 057, W 20327,16	Uruk (mod. Warka)		2001	ATU 2, plate 34									20	no translation	31		
P003669					21198/zz001r0c5q	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	W 20327,17					W 20327,17		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			47	3482	0	3669		undetermined	150ppi 20160630	clay	IM —		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										0	no translation	64		
P003670					21198/zz001r0c67	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134330					W 20327,18		neben Sickerschacht unter den obersten Riemchen und der obersten adale// t.a.q. IIIa	Nc XVII,1	Administrative			57	3483	0	3670		undetermined	150ppi 20160630	clay	IM 134330		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										13	no translation	51		
P003671					21198/zz001r0c7r	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	30x29x13; Nc XVI,5 / XVII,1; unterhalb der obersten kleinen Häuser aus Riemchen, oberhalb der Hofmauer; Uruk III; ATU 2, Taf. 35.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 058, W 20335,5					W 20335,5		unterhalb der obersten kleinen Häuser aus Riemchen, oberhalb der Hofmauer// t.a.q. IIIa	Nc XVI,5 / XVII,1	Administrative			30	3484	0	3671		undetermined	150ppi 20160630	clay	HD: W 20335,5		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 058, W 20335,5	Uruk (mod. Warka)		2001	BagM 2, catalogue; ATU 2, plate 35 obv.									13	no translation	29		
P003672					21198/zz001r0c88	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	38x35x13; s. W 20335,5; ATU 2, Taf. 35.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 058, W 20335,6					W 20335,6		unterhalb der obersten kleinen Häuser aus Riemchen, oberhalb der Hofmauer// t.a.q. IIIa	Nc XVI,5 / XVII,1	Administrative			38	3485	0	3672		undetermined	150ppi 20160630	clay	HD: W 20335,6		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 058, W 20335,6	Uruk (mod. Warka)		2001	BagM 2, catalogue; ATU 2, plate 35 obv.									13	no translation	35		
P003673					21198/zz001r0c9s	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	26x29x7; s. W 20335,5; ATU 2, Taf. 35.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 058, W 20335,10					W 20335,10		unterhalb der obersten kleinen Häuser aus Riemchen, oberhalb der Hofmauer// t.a.q. IIIa	Nc XVI,5 / XVII,1	Administrative			26	3486	0	3673		undetermined	150ppi 20160630	clay	HD: W 20335,10		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 058, W 20335,10	Uruk (mod. Warka)		2001	ATU 2, plate 35 obv.									7	no translation	29		
P003674					21198/zz001r0cb9	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	33x22x9; s. W 20335,5; ATU 2, Taf. 35.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 058, W 20335,11					W 20335,11		unterhalb der obersten kleinen Häuser aus Riemchen, oberhalb der Hofmauer// t.a.q. IIIa	Nc XVI,5 / XVII,1	Administrative			33	3487	0	3674		undetermined	150ppi 20160630	clay	HD: W 20335,11		tablet	Uruk III (ca. 3200-3000 BC)			ATU 7, pl. 058, W 20335,11	Uruk (mod. Warka)		2001	ATU 2, plate 35 obv.									9	no translation	22		
P003675					21198/zz001r0cct	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	80x54x27 (?); Oa XVI,4; in der obersten Schicht nordöstlich der Hauptbahn; Uruk IV; Join ohne Anschluß; W 20364,1: 54x54x27, W 20364,2: 22x34x19.				German Archaeological Institute, Berlin, Germany (on loan, University of Heidelberg)			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 7, pl. 058, W 20364,1+					W 20364,1 + W 20364,2		in der obersten Schicht nordöstlich der Hauptbahn	Oa XVI,4	Administrative			?	3488	0	3675	P003675 lead, single entry	undetermined	150ppi 20160630	clay	HD: W 20364,1+		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 7, pl. 058, W 20364,1+	Uruk (mod. Warka)		2001										?	no translation	?		
P003677					21198/zz001rb41r	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	W 20367,01					W 20367,01		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			62	3489	0	3677		undetermined	150ppi 20160630	clay	IM —		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 137 fig. 47									21	no translation	80		
P003678					21198/zz001rb208	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134338					W 20367,02		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			87	3490	0	3678		undetermined	150ppi 20160630	clay	IM 134338		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										16	no translation	71		
P003679					21198/zz001rb21s	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	W 20367,03					W 20367,03		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			50	3491	0	3679		undetermined	150ppi 20160630	clay	IM —		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										19	no translation	60		
P003680					21198/zz001rb229	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134339					W 20367,04		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			38	3492	0	3680		undetermined	150ppi 20160630	clay	IM 134339		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										19	no translation	46		
P003681					21198/zz001rb23t	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134340					W 20367,05		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			59	3493	0	3681		undetermined	150ppi 20160630	clay	IM 134340		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										19	no translation	40		
P003682					21198/zz001rb24b	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134341					W 20367,06		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			46	3494	0	3682		undetermined	150ppi 20160630	clay	IM 134341		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										18	no translation	44		
P003683					21198/zz001rb25v	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134342					W 20367,07		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			63	3495	0	3683		undetermined	150ppi 20160630	clay	IM 134342		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										22	no translation	73		
P003684					21198/zz001rb26c	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134343					W 20367,08		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			78	3496	0	3684		undetermined	150ppi 20160630	clay	IM 134343		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										19	no translation	44		
P003685					21198/zz001rb27w	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134344					W 20367,09		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			33	3497	0	3685		undetermined	150ppi 20160630	clay	IM 134344		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										19	no translation	51		
P003686					21198/zz001rb28d	Englund, Robert K.		nn					National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	IM 134345					W 20367,10		Schutt an der Lehmziegelmauer, 1.5 m nordöstlich der oberen Drainage	Nc XVI,5	Administrative			26	3498	0	3686		undetermined	150ppi 20160630	clay	IM 134345		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd	Green, Margaret W., JNES 39 (1980) 027 15									18	no translation	40		
