A	PROTO-CUNEIFORM SIGN A
SANGA~c	PROTO-CUNEIFORM SIGN SANGA-C
SANGA~e	PROTO-CUNEIFORM SIGN SANGA-E
SAR~a	PROTO-CUNEIFORM SIGN SAR-A
|SAR~a×ŠE~a|	PROTO-CUNEIFORM SIGN SAR-A TIMES SHE-A
SAR~b	PROTO-CUNEIFORM SIGN SAR-B
SAR~c	PROTO-CUNEIFORM SIGN SAR-C
SAR~d	PROTO-CUNEIFORM SIGN SAR-D
SI	PROTO-CUNEIFORM SIGN SI
|SI+AN|	PROTO-CUNEIFORM SIGN SI JOINING AN
|SI×EN~a|	PROTO-CUNEIFORM SIGN SI TIMES EN-A
|SI×GU₄|	PROTO-CUNEIFORM SIGN SI TIMES GU4
|SI×KU~b1|	PROTO-CUNEIFORM SIGN SI TIMES KU-B1
|SI×SAL|	PROTO-CUNEIFORM SIGN SI TIMES SAL
|SI×ŠE₃|	PROTO-CUNEIFORM SIGN SI TIMES SHE3
|SI×TUN₃~a|	PROTO-CUNEIFORM SIGN SI TIMES TUN3-A
|SI×1(N58)|	PROTO-CUNEIFORM SIGN SI TIMES ONE-N58
SI₄~a	PROTO-CUNEIFORM SIGN SI4-A
SI₄~b	PROTO-CUNEIFORM SIGN SI4-B
SI₄~c	PROTO-CUNEIFORM SIGN SI4-C
SI₄~d	PROTO-CUNEIFORM SIGN SI4-D
SI₄~f	PROTO-CUNEIFORM SIGN SI4-F
SIG	PROTO-CUNEIFORM SIGN SIG
SIG~b	PROTO-CUNEIFORM SIGN SIG-B
SIG@g	PROTO-CUNEIFORM SIGN SIG GUNU
SIG₂~a1	PROTO-CUNEIFORM SIGN SIG2-A1
SIG₂~a2	PROTO-CUNEIFORM SIGN SIG2-A2
SIG₂~a3	PROTO-CUNEIFORM SIGN SIG2-A3
SIG₂~a4	PROTO-CUNEIFORM SIGN SIG2-A4
SIG₂~b	PROTO-CUNEIFORM SIGN SIG2-B
|SIG₂~b×1(N14)|	PROTO-CUNEIFORM SIGN SIG2-B TIMES ONE-N14
|SIG₂~b&SIG₂~b|	PROTO-CUNEIFORM SIGN SIG2-B OVER SIG2-B
SIG₂~c1	PROTO-CUNEIFORM SIGN SIG2-C1
SIG₂~c2	PROTO-CUNEIFORM SIGN SIG2-C2
SIG₂~d1	PROTO-CUNEIFORM SIGN SIG2-D1
SIG₂~d2	PROTO-CUNEIFORM SIGN SIG2-D2
SIG₂~d3	PROTO-CUNEIFORM SIGN SIG2-D3
SIG₂~d4	PROTO-CUNEIFORM SIGN SIG2-D4
SIG₂~e	PROTO-CUNEIFORM SIGN SIG2-E
SIG₄	PROTO-CUNEIFORM SIGN SIG4
SIG₇	PROTO-CUNEIFORM SIGN SIG7
SIKIL	PROTO-CUNEIFORM SIGN SIKIL
SILA₃~a	PROTO-CUNEIFORM SIGN SILA3-A
|SILA₃~a×A|	PROTO-CUNEIFORM SIGN SILA3-A TIMES A
|SILA₃~a×AMAR|	PROTO-CUNEIFORM SIGN SILA3-A TIMES AMAR
|SILA₃~a×DUG~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES DUG-A
|SILA₃~a×DUG~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES DUG-B
|SILA₃~a×GA~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GA-A
|SILA₃~a×GARA₂~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GARA2-A
|SILA₃~a×GEŠTU~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GESHTU-A
|SILA₃~a×GEŠTU~c3|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GESHTU-C3
|SILA₃~a×GEŠTU~c5|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GESHTU-C5
|SILA₃~a×HAŠHUR|	PROTO-CUNEIFORM SIGN SILA3-A TIMES HASHHUR
|SILA₃~a×HI|	PROTO-CUNEIFORM SIGN SILA3-A TIMES HI
|SILA₃~a×HI@g~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES HI GUNU-A
|SILA₃~a×IB~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES IB-A
|SILA₃~a×KAŠ~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-A
|SILA₃~a×KAŠ~c|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-C
|SILA₃~a×KAŠ~d|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-D
|SILA₃~a×KU₆~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KU6-A
|SILA₃~a×KUR~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KUR-A
|SILA₃~a×MA|	PROTO-CUNEIFORM SIGN SILA3-A TIMES MA
|SILA₃~a×MAŠ|	PROTO-CUNEIFORM SIGN SILA3-A TIMES MASH
|SILA₃~a×MUD₃~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES MUD3-B
|SILA₃~a×NAGA~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES NAGA-A
|SILA₃~a×NI~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES NI-A
|SILA₃~a×NUN~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES NUN-B
|SILA₃~a×SUHUR|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUHUR
|SILA₃~a×SUM~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUM-A
|SILA₃~a×SUM~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUM-B
|SILA₃~a×ŠE~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHE-A
|SILA₃~a×ŠE~a@t|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHE-A TENU
|SILA₃~a×ŠU|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHU
|SILA₃~a×ŠU₂|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHU2
|SILA₃~a×X|	PROTO-CUNEIFORM SIGN SILA3-A TIMES X
|SILA₃~a×ZATU629|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ZATU629
|SILA₃~a×ZATU646|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ZATU646
|SILA₃~a×(ZATU659.TU~c)|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ZATU659 PLUS TU-C
|SILA₃~a×1(N57)|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ONE-N57
|SILA₃~a×1(N58)|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ONE-N58
SILA₃~b	PROTO-CUNEIFORM SIGN SILA3-B
|SILA₃~b×DUG~a|	PROTO-CUNEIFORM SIGN SILA3-B TIMES DUG-A
|SILA₃~b×GUG₂|	PROTO-CUNEIFORM SIGN SILA3-B TIMES GUG2
|SILA₃~b×NAGA~b|	PROTO-CUNEIFORM SIGN SILA3-B TIMES NAGA-B
|SILA₃~b×NI~a|	PROTO-CUNEIFORM SIGN SILA3-B TIMES NI-A
|SILA₃~b×NI~b|	PROTO-CUNEIFORM SIGN SILA3-B TIMES NI-B
SILA₃~c	PROTO-CUNEIFORM SIGN SILA3-C
|SILA₃~c×ŠU|	PROTO-CUNEIFORM SIGN SILA3-C TIMES SHU
|SILA₃~c×ZATU687|	PROTO-CUNEIFORM SIGN SILA3-C TIMES ZATU687
|SILA₃~d×NI~a|	PROTO-CUNEIFORM SIGN SILA3-D TIMES NI-A
SILA₄~a	PROTO-CUNEIFORM SIGN SILA4-A
SILA₄~b	PROTO-CUNEIFORM SIGN SILA4-B
SILA₄~c	PROTO-CUNEIFORM SIGN SILA4-C
SILA₄~d	PROTO-CUNEIFORM SIGN SILA4-D
SILANITA	PROTO-CUNEIFORM SIGN SILANITA
SIMUG	PROTO-CUNEIFORM SIGN SIMUG
SIPA	PROTO-CUNEIFORM SIGN SIPA
SU~a	PROTO-CUNEIFORM SIGN SU-A
|SU~a×1(N58)|	PROTO-CUNEIFORM SIGN SU-A TIMES ONE-N58
SU~b	PROTO-CUNEIFORM SIGN SU-B
SU~c	PROTO-CUNEIFORM SIGN SU-C
SU₃	PROTO-CUNEIFORM SIGN SU3
SUG	PROTO-CUNEIFORM SIGN SUG
SUG₅	PROTO-CUNEIFORM SIGN SUG5
SUH₃	PROTO-CUNEIFORM SIGN SUH3
SUHUR	PROTO-CUNEIFORM SIGN SUHUR
SUHUR@g	PROTO-CUNEIFORM SIGN SUHUR GUNU
SUHUR@n	PROTO-CUNEIFORM SIGN SUHUR NUTILLU
SUHUR@t	PROTO-CUNEIFORM SIGN SUHUR TENU
SUKKAL	PROTO-CUNEIFORM SIGN SUKKAL
SUKUD	PROTO-CUNEIFORM SIGN SUKUD
|(SUKUD+SUKUD)~a|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM A
|(SUKUD+SUKUD)~b|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM B
|(SUKUD+SUKUD)~c|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM C
|(SUKUD+SUKUD)~d|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM D
SUKUD@g~a	PROTO-CUNEIFORM SIGN SUKUD GUNU-A
SUKUD@g~b	PROTO-CUNEIFORM SIGN SUKUD GUNU-B
SUKUD@g~c	PROTO-CUNEIFORM SIGN SUKUD GUNU-C
SUKUD@g~d	PROTO-CUNEIFORM SIGN SUKUD GUNU-D
SUKUD@h	PROTO-CUNEIFORM SIGN SUKUD HFLIP
SUM~a	PROTO-CUNEIFORM SIGN SUM-A
SUM~a@t	PROTO-CUNEIFORM SIGN SUM-A TENU
SUM~b	PROTO-CUNEIFORM SIGN SUM-B
SUMAŠ	PROTO-CUNEIFORM SIGN SUMASH
SUR	PROTO-CUNEIFORM SIGN SUR
SUSA	PROTO-CUNEIFORM SIGN SUSA
ŠA	PROTO-CUNEIFORM SIGN SHA
|(ŠA×HI@g~a)~a|	PROTO-CUNEIFORM SIGN SHA TIMES HI GUNU-A FORM A
|(ŠA×HI@g~a)~b|	PROTO-CUNEIFORM SIGN SHA TIMES HI GUNU-A FORM B
ŠA@g	PROTO-CUNEIFORM SIGN SHA GUNU
ŠA₃~a1	PROTO-CUNEIFORM SIGN SHA3-A1
ŠA₃~a2	PROTO-CUNEIFORM SIGN SHA3-A2
ŠA₃~a2@g	PROTO-CUNEIFORM SIGN SHA3-A2 GUNU
ŠA₃~b	PROTO-CUNEIFORM SIGN SHA3-B
ŠA₃~c	PROTO-CUNEIFORM SIGN SHA3-C
ŠA₃~d	PROTO-CUNEIFORM SIGN SHA3-D
ŠAB~a	PROTO-CUNEIFORM SIGN SHAB-A
ŠAB~b	PROTO-CUNEIFORM SIGN SHAB-B
ŠAGAN	PROTO-CUNEIFORM SIGN SHAGAN
ŠAGINA	PROTO-CUNEIFORM SIGN SHAGINA
ŠAH₂~a	PROTO-CUNEIFORM SIGN SHAH2-A
ŠAH₂~b	PROTO-CUNEIFORM SIGN SHAH2-B
ŠAH₂~c	PROTO-CUNEIFORM SIGN SHAH2-C
ŠAKIR~a	PROTO-CUNEIFORM SIGN SHAKIR-A
ŠAKIR~b	PROTO-CUNEIFORM SIGN SHAKIR-B
ŠAKIR~c	PROTO-CUNEIFORM SIGN SHAKIR-C
ŠAM₂	PROTO-CUNEIFORM SIGN SHAM2
ŠANDANA~a	PROTO-CUNEIFORM SIGN SHANDANA-A
ŠANDANA~b	PROTO-CUNEIFORM SIGN SHANDANA-B
ŠE~a	PROTO-CUNEIFORM SIGN SHE-A
|ŠE~a.GAR|	PROTO-CUNEIFORM SIGN SHE-A BESIDE GAR
|ŠE~a.KIN₂~c|	PROTO-CUNEIFORM SIGN SHE-A BESIDE KIN2-C
|ŠE~a.NAM₂|	PROTO-CUNEIFORM SIGN SHE-A BESIDE NAM2
|ŠE~a&ŠE~a|	PROTO-CUNEIFORM SIGN SHE-A OVER SHE-A
ŠE~a@t	PROTO-CUNEIFORM SIGN SHE-A TENU
|ŠE~a@t.GAR|	PROTO-CUNEIFORM SIGN SHE-A TENU BESIDE GAR
|ŠE~a@t+EZEN~b|	PROTO-CUNEIFORM SIGN SHE-A TENU JOINING EZEN-B
ŠE~b	PROTO-CUNEIFORM SIGN SHE-B
ŠE~c	PROTO-CUNEIFORM SIGN SHE-C
ŠE₃	PROTO-CUNEIFORM SIGN SHE3
ŠE₃@t	PROTO-CUNEIFORM SIGN SHE3 TENU
ŠEG₉	PROTO-CUNEIFORM SIGN SHEG9
ŠELU	PROTO-CUNEIFORM SIGN SHELU
ŠEN~a	PROTO-CUNEIFORM SIGN SHEN-A
ŠEN~b	PROTO-CUNEIFORM SIGN SHEN-B
ŠEN~c	PROTO-CUNEIFORM SIGN SHEN-C
ŠEN~c@t	PROTO-CUNEIFORM SIGN SHEN-C TENU
ŠEN~d	PROTO-CUNEIFORM SIGN SHEN-D
|ŠEN~d×A|	PROTO-CUNEIFORM SIGN SHEN-D TIMES A
ŠEN~e	PROTO-CUNEIFORM SIGN SHEN-E
ŠENNUR~a	PROTO-CUNEIFORM SIGN SHENNUR-A
ŠENNUR~b	PROTO-CUNEIFORM SIGN SHENNUR-B
ŠEŠ~a	PROTO-CUNEIFORM SIGN SHESH-A
ŠEŠ~b	PROTO-CUNEIFORM SIGN SHESH-B
ŠIDIM	PROTO-CUNEIFORM SIGN SHIDIM
ŠIDIM@t	PROTO-CUNEIFORM SIGN SHIDIM TENU
ŠIM~a	PROTO-CUNEIFORM SIGN SHIM-A
ŠIM~b	PROTO-CUNEIFORM SIGN SHIM-B
ŠIR~a	PROTO-CUNEIFORM SIGN SHIR-A
ŠIR~b	PROTO-CUNEIFORM SIGN SHIR-B
ŠITA~a1	PROTO-CUNEIFORM SIGN SHITA-A1
|ŠITA~a1×KAK~a|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES KAK-A
|ŠITA~a1×ŠU|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES SHU
|ŠITA~a1×ŠU₂|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES SHU2
|ŠITA~a1×UDU~a|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES UDU-A
|ŠITA~a1×1(N06)|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES ONE-N6
ŠITA~a2	PROTO-CUNEIFORM SIGN SHITA-A2
ŠITA~a3	PROTO-CUNEIFORM SIGN SHITA-A3
ŠITA~b1	PROTO-CUNEIFORM SIGN SHITA-B1
ŠITA~b2	PROTO-CUNEIFORM SIGN SHITA-B2
|ŠITA~b2@g×HI@g~a|	PROTO-CUNEIFORM SIGN SHITA-B2 GUNU TIMES HI GUNU-A
ŠITA~b3	PROTO-CUNEIFORM SIGN SHITA-B3
|ŠITA~b3×NAM₂|	PROTO-CUNEIFORM SIGN SHITA-B3 TIMES NAM2
ŠITA~c	PROTO-CUNEIFORM SIGN SHITA-C
ŠITA@g~a	PROTO-CUNEIFORM SIGN SHITA GUNU-A
|ŠITA@g~a×1(N04)|	PROTO-CUNEIFORM SIGN SHITA GUNU-A TIMES ONE-N4
|ŠITA@g~a×1(N06)|	PROTO-CUNEIFORM SIGN SHITA GUNU-A TIMES ONE-N6
ŠITA@g~b	PROTO-CUNEIFORM SIGN SHITA GUNU-B
ŠU	PROTO-CUNEIFORM SIGN SHU
|ŠU×1(N58)|	PROTO-CUNEIFORM SIGN SHU TIMES ONE-N58
|ŠU&ŠU|	PROTO-CUNEIFORM SIGN SHU OVER SHU
ŠU@g	PROTO-CUNEIFORM SIGN SHU GUNU
ŠU@s	PROTO-CUNEIFORM SIGN SHU SHESHIG
ŠU₂	PROTO-CUNEIFORM SIGN SHU2
|ŠU₂.AN|	PROTO-CUNEIFORM SIGN SHU2 BESIDE AN
|ŠU₂.E₂~a|	PROTO-CUNEIFORM SIGN SHU2 BESIDE E2-A
|ŠU₂.E₂~b|	PROTO-CUNEIFORM SIGN SHU2 BESIDE E2-B
|ŠU₂.EN~a|	PROTO-CUNEIFORM SIGN SHU2 BESIDE EN-A
|ŠU₂.EN~b|	PROTO-CUNEIFORM SIGN SHU2 BESIDE EN-B
|ŠU₂.GIŠ|	PROTO-CUNEIFORM SIGN SHU2 BESIDE GISH
|ŠU₂.(HI×1(N57))&(HI×1(N57))|	PROTO-CUNEIFORM SIGN SHU2 BESIDE HI TIMES ONE-N57 OVER HI TIMES ONE-N57
|ŠU₂.PAP~a|	PROTO-CUNEIFORM SIGN SHU2 BESIDE PAP-A
|ŠU₂.URI₃~a|	PROTO-CUNEIFORM SIGN SHU2 BESIDE URI3-A
|ŠU₂.1(N02)|	PROTO-CUNEIFORM SIGN SHU2 BESIDE ONE-N2
|ŠU₂.1(N24)|	PROTO-CUNEIFORM SIGN SHU2 BESIDE ONE-N24
|ŠU₂.2(N57)|	PROTO-CUNEIFORM SIGN SHU2 BESIDE TWO-N57
|ŠU₂×3(N57)|	PROTO-CUNEIFORM SIGN SHU2 TIMES THREE-N57
ŠU₁₂	PROTO-CUNEIFORM SIGN SHU12
ŠUBUR	PROTO-CUNEIFORM SIGN SHUBUR
ŠUM	PROTO-CUNEIFORM SIGN SHUM
|ŠUR₂×1(N58)|	PROTO-CUNEIFORM SIGN SHUR2 TIMES ONE-N58
ŠUR₂~a	PROTO-CUNEIFORM SIGN SHUR2-A
ŠUR₂~b	PROTO-CUNEIFORM SIGN SHUR2-B
ŠUR₂~c	PROTO-CUNEIFORM SIGN SHUR2-C
ŠURUPPAK~a	PROTO-CUNEIFORM SIGN SHURUPPAK-A
ŠURUPPAK~b	PROTO-CUNEIFORM SIGN SHURUPPAK-B
ŠURUPPAK~c	PROTO-CUNEIFORM SIGN SHURUPPAK-C
TA~a	PROTO-CUNEIFORM SIGN TA-A
TA~b	PROTO-CUNEIFORM SIGN TA-B
TA~c	PROTO-CUNEIFORM SIGN TA-C
TA~d	PROTO-CUNEIFORM SIGN TA-D
|TA~d×MAŠ|	PROTO-CUNEIFORM SIGN TA-D TIMES MASH
TA~e	PROTO-CUNEIFORM SIGN TA-E
TA~f	PROTO-CUNEIFORM SIGN TA-F
TAG~a1	PROTO-CUNEIFORM SIGN TAG-A1
TAG~a1@t	PROTO-CUNEIFORM SIGN TAG-A1 TENU
TAG~a2	PROTO-CUNEIFORM SIGN TAG-A2
TAG~a3	PROTO-CUNEIFORM SIGN TAG-A3
TAG~a4	PROTO-CUNEIFORM SIGN TAG-A4
TAG~b	PROTO-CUNEIFORM SIGN TAG-B
TAG~c	PROTO-CUNEIFORM SIGN TAG-C
TAG~d	PROTO-CUNEIFORM SIGN TAG-D
TAK₄~a	PROTO-CUNEIFORM SIGN TAK4-A
TAK₄~a@n	PROTO-CUNEIFORM SIGN TAK4-A NUTILLU
TAK₄~c	PROTO-CUNEIFORM SIGN TAK4-C
TAR~a	PROTO-CUNEIFORM SIGN TAR-A
TAR~d	PROTO-CUNEIFORM SIGN TAR-D
TE	PROTO-CUNEIFORM SIGN TE
TI	PROTO-CUNEIFORM SIGN TI
TI@g	PROTO-CUNEIFORM SIGN TI GUNU
TI@r	PROTO-CUNEIFORM SIGN TI REVERSED
TI@t	PROTO-CUNEIFORM SIGN TI TENU
TIDNUM	PROTO-CUNEIFORM SIGN TIDNUM
TILLA₂	PROTO-CUNEIFORM SIGN TILLA2
TU~a	PROTO-CUNEIFORM SIGN TU-A
TU~b	PROTO-CUNEIFORM SIGN TU-B
TU~c	PROTO-CUNEIFORM SIGN TU-C
TUG₂~a	PROTO-CUNEIFORM SIGN TUG2-A
|TUG₂~a.BAD&BAD|	PROTO-CUNEIFORM SIGN TUG2-A BESIDE BAD OVER BAD
TUG₂~a@g	PROTO-CUNEIFORM SIGN TUG2-A GUNU
TUG₂~b	PROTO-CUNEIFORM SIGN TUG2-B
TUG₂~c	PROTO-CUNEIFORM SIGN TUG2-C
TUG₂~d	PROTO-CUNEIFORM SIGN TUG2-D
TUM~a	PROTO-CUNEIFORM SIGN TUM-A
TUM~a@g	PROTO-CUNEIFORM SIGN TUM-A GUNU
TUM~b	PROTO-CUNEIFORM SIGN TUM-B
TUM~c	PROTO-CUNEIFORM SIGN TUM-C
TUM~d	PROTO-CUNEIFORM SIGN TUM-D
TUN₃~a	PROTO-CUNEIFORM SIGN TUN3-A
TUN₃~b	PROTO-CUNEIFORM SIGN TUN3-B
TUN₃~c	PROTO-CUNEIFORM SIGN TUN3-C
TUR	PROTO-CUNEIFORM SIGN TUR
|TUR×X|	PROTO-CUNEIFORM SIGN TUR TIMES X
TUR@g	PROTO-CUNEIFORM SIGN TUR GUNU
TUR₃~a	PROTO-CUNEIFORM SIGN TUR3-A
|TUR₃~a.5(N57)|	PROTO-CUNEIFORM SIGN TUR3-A BESIDE FIVE-N57
TUR₃~a@n	PROTO-CUNEIFORM SIGN TUR3-A NUTILLU
TUR₃~b	PROTO-CUNEIFORM SIGN TUR3-B
|TUR₃~b×TAK₄~a|	PROTO-CUNEIFORM SIGN TUR3-B TIMES TAK4-A
TUR₃~c	PROTO-CUNEIFORM SIGN TUR3-C
U₂~a	PROTO-CUNEIFORM SIGN U2-A
U₂~b	PROTO-CUNEIFORM SIGN U2-B
U₂~c	PROTO-CUNEIFORM SIGN U2-C
U₄	PROTO-CUNEIFORM SIGN U4
|U₄.ŠU₂|	PROTO-CUNEIFORM SIGN U4 BESIDE SHU2
|U₄.1(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N8
|U₄.2(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE TWO-N8
|U₄.3(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE THREE-N8
|U₄.4(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE FOUR-N8
|U₄.5(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE FIVE-N8
|U₄.6(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE SIX-N8
|U₄.7(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE SEVEN-N8
|U₄.8(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE EIGHT-N8
|U₄.1(N14)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14
|U₄.1(N14).1(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 BESIDE ONE-N8
|U₄.1(N14).3(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 BESIDE THREE-N8
|U₄.1(N14).4(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 BESIDE FOUR-N8
|U₄.1(N14).5(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 BESIDE FIVE-N8
|U₄.1(N14).8(N08)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 BESIDE EIGHT-N8
|U₄.2(N14)|	PROTO-CUNEIFORM SIGN U4 BESIDE TWO-N14
|U₄.1(N24)|	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N24
|U₄×X|	PROTO-CUNEIFORM SIGN U4 TIMES X
|U₄×(X+2(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES X JOINING TWO-N1
|U₄×1(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1
|U₄×1(N01).5(N08)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 BESIDE FIVE-N8
|U₄×(1(N01).1(N24))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 PLUS ONE-N24
|U₄×2(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1
|U₄×2(N01).X|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE X
|U₄×2(N01).2(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE TWO-N14
|U₄×2(N01).2(N14).1(N08)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE TWO-N14 BESIDE ONE-N8
|U₄×3(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N1
|U₄×3(N01).3(N08)|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N1 BESIDE THREE-N8
|U₄×4(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N1
|U₄×4(N01).2(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N1 BESIDE TWO-N14
|U₄×5(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N1
|U₄×5(N01).1(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N1 BESIDE ONE-N14
|U₄×6(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES SIX-N1
|U₄×8(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N1
|U₄×8(N01).X|	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N1 BESIDE X
|U₄×N(N01)|	PROTO-CUNEIFORM SIGN U4 TIMES N-N1
|U₄×1(N01@f)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 FLAT
|U₄×1(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14
|U₄×(1(N14).1(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS ONE-N1
|U₄×(1(N14).2(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS TWO-N1
|U₄×(1(N14).3(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS THREE-N1
|U₄×(1(N14).3(N01)).1(N14).4(N08)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS THREE-N1 BESIDE ONE-N14 BESIDE FOUR-N8
|U₄×(1(N14).4(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS FOUR-N1
|U₄×(1(N14).8(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS EIGHT-N1
|U₄×2(N14)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N14
|U₄×(2(N14).4(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N14 PLUS FOUR-N1
|U₄×(3(N14).2(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N14 PLUS TWO-N1
|U₄×(3(N14).7(N01))|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N14 PLUS SEVEN-N1
|U₄×1(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N57
|U₄×2(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N57
|U₄×3(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N57
|U₄×4(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N57
|U₄×5(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N57
|U₄×6(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES SIX-N57
|U₄×7(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES SEVEN-N57
|U₄×8(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N57
|U₄×10(N57)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N57
|U₄×1(N58@t)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N58 TENU
U₄@t	PROTO-CUNEIFORM SIGN U4 TENU
U₈	PROTO-CUNEIFORM SIGN U8
|U₈×TAR~b|	PROTO-CUNEIFORM SIGN U8 TIMES TAR-B
UB	PROTO-CUNEIFORM SIGN UB
UBI~a	PROTO-CUNEIFORM SIGN UBI-A
UBI~c	PROTO-CUNEIFORM SIGN UBI-C
UBI~d	PROTO-CUNEIFORM SIGN UBI-D
UD₅~a	PROTO-CUNEIFORM SIGN UD5-A
UD₅~a@g	PROTO-CUNEIFORM SIGN UD5-A GUNU
UD₅~b	PROTO-CUNEIFORM SIGN UD5-B
